node	bin
NODE_870_length_9516_cov_16.768312	183
NODE_600_length_29529_cov_15.217649	183
NODE_662_length_23237_cov_16.084678	183
NODE_370_length_58175_cov_19.483328	183
NODE_115_length_143967_cov_15.194654	183
NODE_178_length_103637_cov_16.635902	183
NODE_952_length_5568_cov_113.805551	183
NODE_304_length_68085_cov_15.867867	183
NODE_239_length_85337_cov_15.968458	183
NODE_294_length_70776_cov_16.201355	183
NODE_269_length_75049_cov_29.188308	183
NODE_101_length_154455_cov_15.497500	183
NODE_698_length_20548_cov_16.785390	183
NODE_147_length_121680_cov_15.819026	183
NODE_69_length_191324_cov_30.706314	183
NODE_459_length_44615_cov_15.283169	183
NODE_355_length_60355_cov_15.882007	183
NODE_929_length_6353_cov_16.780565	183
NODE_504_length_39428_cov_16.092856	183
NODE_50_length_233217_cov_29.522602	183
NODE_582_length_31086_cov_29.138990	183
NODE_745_length_17420_cov_28.640426	183
NODE_163_length_111217_cov_30.752334	183
NODE_220_length_89676_cov_15.806641	183
NODE_149_length_120265_cov_15.141502	183
NODE_305_length_67972_cov_14.788212	183
NODE_672_length_22089_cov_16.041028	183
NODE_992_length_4758_cov_43.285350	183
NODE_550_length_34853_cov_464.683200	22
NODE_865_length_9754_cov_68.032890	22
NODE_999_length_4636_cov_945.713381	22
NODE_30_length_294225_cov_407.740932	22
NODE_53_length_227858_cov_395.956664	22
NODE_961_length_5316_cov_473.002091	22
NODE_252_length_80463_cov_465.001070	22
NODE_34_length_280050_cov_446.961403	22
NODE_759_length_16163_cov_432.485783	22
NODE_119_length_141154_cov_455.742854	22
NODE_501_length_39647_cov_423.640256	22
NODE_427_length_48366_cov_427.336963	22
NODE_138_length_126129_cov_414.943232	22
NODE_203_length_93508_cov_458.221095	22
NODE_505_length_39019_cov_469.759547	22
NODE_617_length_28088_cov_422.988977	22
NODE_396_length_51628_cov_447.458108	22
NODE_185_length_100010_cov_409.500215	22
NODE_480_length_41762_cov_402.437337	22
NODE_170_length_108053_cov_452.249847	22
NODE_444_length_45690_cov_428.564632	22
NODE_400_length_51444_cov_451.160540	22
NODE_171_length_107937_cov_443.707810	22
NODE_54_length_214392_cov_428.650065	22
NODE_690_length_20942_cov_455.615790	22
NODE_106_length_152822_cov_461.483220	22
NODE_281_length_73040_cov_460.821922	22
NODE_126_length_134325_cov_406.506345	22
NODE_161_length_112402_cov_423.692996	22
NODE_248_length_81996_cov_287.457439	23
NODE_10_length_475512_cov_282.759989	23
NODE_7_length_542905_cov_289.320523	23
NODE_1_length_1491011_cov_268.917338	23
NODE_188_length_99638_cov_274.263268	23
NODE_51_length_232460_cov_285.278144	23
NODE_158_length_116827_cov_582.149659	42
NODE_37_length_267784_cov_560.420253	42
NODE_5_length_724469_cov_457.812015	42
NODE_604_length_29217_cov_614.936527	42
NODE_802_length_13049_cov_661.542096	42
NODE_33_length_280388_cov_520.808342	42
NODE_196_length_95615_cov_491.627982	42
NODE_28_length_304329_cov_619.909496	42
NODE_49_length_234919_cov_449.180130	42
